Date,Open,High,Low,Close,AdjClose,Volume,Change
2021-06-01,138,139.416824,137.428299,137,134.485382,2528705,-0.007246376811594203
2021-06-02,138,139.340347,137.772461,139,135.912399,2915097,0.007246376811594203
2021-06-03,138,139.464630,137.705551,139,135.753845,4320608,0.007246376811594203
2021-06-04,139,141.061188,139.349899,140,137.498001,3261323,0.007194244604316547
2021-06-07,141,142.198853,140.697891,141,138.057602,3621984,0.0
2021-06-08,141,143.594650,141.606125,142,139.036942,5313785,0.0070921985815602835
2021-06-09,142,144.426392,142.275330,144,140.529251,5547252,0.014084507042253521
2021-06-10,144,146.118546,143.173996,143,140.408005,4977391,-0.006944444444444444
2021-06-11,143,145.172089,143.757172,144,141.098190,3596462,0.006993006993006993
2021-06-14,144,144.388138,142.122375,143,139.932327,3498661,-0.006944444444444444
2021-06-15,143,143.317398,142.065002,142,139.307404,2628912,-0.006993006993006993
2021-06-16,143,143.173996,140.745697,141,137.880386,4057329,-0.013986013986013986
2021-06-17,141,141.548752,138.891006,139,135.800476,4568300,-0.014184397163120567
2021-06-18,138,138.317398,136.749527,136,133.487396,9577699,-0.014492753623188406
2021-06-21,137,140.602295,137.724670,140,136.779816,4482633,0.021897810218978103
2021-06-22,140,140.353729,138.957932,139,136.509338,2549102,-0.007142857142857143
2021-06-23,139,140.057358,138.212234,138,134.877106,3349920,-0.007194244604316547
2021-06-24,139,139.761002,138.326965,139,135.651260,3775746,0.0
2021-06-25,138,140.468445,138.575531,140,136.957031,3759533,0.014492753623188406
2021-06-28,140,140.822174,138.537292,138,135.511353,4067789,-0.014285714285714285
2021-06-29,138,140.286804,138.718933,139,135.753845,2540211,0.007246376811594203
2021-06-30,138,140.468445,138.346085,140,136.723862,3394375,0.014492753623188406
2021-07-01,140,141.013382,140.124283,140,136.957031,2809661,0.0
2021-07-02,140,140.487579,133.326965,133,130.596054,17584515,-0.05
2021-07-06,133,134.244736,131.070740,132,129.439499,8466010,-0.007518796992481203
2021-07-07,132,134.158707,132.657745,133,130.409500,4246446,0.007575757575757576
2021-07-08,131,135.095596,131.606125,134,131.267578,5739820,0.022900763358778626
2021-07-09,135,135.736145,134.646271,135,131.995087,4083689,0.0
2021-07-12,135,135.717010,133.957932,134,131.435471,3496360,-0.007407407407407408
2021-07-13,134,134.722748,133.489487,134,130.838547,3309858,0.0
2021-07-14,134,134.560226,132.820267,133,130.409500,4606061,-0.007462686567164179
2021-07-15,133,134.282990,132.695984,134,130.997101,3807126,0.007518796992481203
2021-07-16,134,134.799240,132.495224,132,129.551407,4298328,-0.014925373134328358
2021-07-19,130,132.399612,130.219879,131,128.637390,8977086,0.007692307692307693
2021-07-20,136,138.546844,132.600388,133,130.549393,14237838,-0.022058823529411766
